title,rooms,size_m2,monthly_rent
SKAL SES! Kæmpe 3-værelses lejlighed midt i centrum,3.0,116.0,15995.0
Værelse i Rundhøj,1.0,13.0,3500.0
Stort lyst værelse. 500m fra BSS og 800m til UNI,1.0,34.0,4100.0
Værelse i hyggeligt lille hus på landet ,1.0,12.0,5000.0
2 værelses lejlighed på Guldsmedgade i Aarhus C udlejes,2.0,84.0,11995.0
Moderne 2-værelse med 2 altaner i Aarhus C,2.0,71.0,11500.0
Perfekt lejlighed i skønne Risskov,1.0,32.0,6495.0
2 værelses lejlighed på Vintervej i Aarhus udlejes,2.0,41.0,6195.0
Stor og moderne 4-værelses,4.0,96.0,10300.0
Skøn 1-værelses i attraktive Risskov,1.0,44.0,6800.0
Skøn 4-værelses lejlighed i Høiriisparken,4.0,99.0,10650.0
Fantastisk beliggenhed på Frederiksbjerg,2.0,59.0,9850.0
Hyggelig lejlighed med egen indgang,2.0,38.0,5300.0
2 værelses lejlighed på Amaliegade i Aarhus udlejes,2.0,59.0,10195.0
4 værelses rækkehus på Rødlundvej i Harlev J udlejes,4.0,90.0,9495.0
5 værelses delevenlig lejlighed,5.0,108.0,9500.0
4 værelses rækkehus på Rødlundvej i Harlev J udlejes,4.0,90.0,9495.0
Nyere opført 1-plans rækkebolig fra 2019 ,4.0,103.0,10250.0
"3-værelses lejlighed udlejes i 5 mdr. – Anholtsgade, Aarhus C",3.0,87.0,11000.0
Nybyggede 1-værelses lejligheder med hems i Aarhus,1.0,29.0,5350.0
NY ANNEKSBYGNING MED LANDSKABSUDSIGT,1.0,49.0,4650.0
Nybygget hus i roligt område ,4.0,100.0,11000.0
3. vær. lejlighed i Egå,3.0,85.0,6500.0
Nyt rækkehuse i roligt område ,5.0,117.0,11900.0
Skøn 2-værelses stuelejlighed på attraktive Trøjborgvej – 65 m²,2.0,65.0,11000.0
Udsigtslejlighed i Gl. Brabrand,2.0,50.0,6995.0
super god beliggenhed,2.0,47.0,7695.0
Lejlighed med god indretning,4.0,113.0,10495.0
"HUSDYR TILLADT, EGEN ALTAN",2.0,49.0,8500.0
1-VÆRELSES I RISSKOV - TÆT PÅ LETBANEN,1.0,44.0,10000.0
1-VÆRELSES LEJLIGHED I RISSKOV - AARHUS ,1.0,50.0,10000.0
Flot udsigt,2.0,67.0,6720.0
Nyopført 1-værelses lejlighed i Skejbyen,1.0,44.0,6195.0
Rummeligt hus,4.0,106.0,11200.0
"Hinnerup by med stor altan, parkering og græsplæne",3.0,93.0,8950.0
267 m2 stuehus ved Mårslet,9.0,267.0,10950.0
Flot 2-værelses lejlighed i Zebra House,2.0,60.0,7245.0
Moderne rækkehus med 4 værelser i Hørning,4.0,96.0,10500.0
Moderne rækkehus med 3 værelser i Hørning,3.0,84.0,9500.0
Stor og indbydende 3-værelses lejlighed ,3.0,88.0,9500.0
Moderne 1-værelses lejlighed i grønne omgivelser,1.0,39.0,5900.0
Ny 2-værelseslejlighed med altan,2.0,54.0,8000.0
Velindrettet og rummelig 2-værelses lejlighed ,2.0,56.0,8300.0
Lys og velindrettet 2-værelses lejlighed med terrasse,2.0,41.0,6700.0
Stor 3-værelses lejelighed med terrasse,3.0,78.0,10000.0
Moderne 1-værelses lejlighed i grønne omgivelser,1.0,39.0,6000.0
1 værelses lejlighed på Bytoften i Risskov udlejes,1.0,39.0,5900.0
Lys lille 2-værelses med egen terrasse ,2.0,41.0,6700.0
3-vær. Lejlighed 86 m2 udlejes,3.0,86.0,8000.0
Stuelejlighed,2.0,57.0,8880.0
Stor 4 værelses lejlighed på landejendom ved Hasselager med landskabsudsigt,4.0,140.0,10000.0
Hyggelig 1-værelses lejlighed i hjertet af Aarhus C 🌇,1.0,32.0,7100.0
Solrig lejlighed med havudsigt,1.0,27.0,4740.0
Renoveret delevenlig 2-værelses lejlighed,2.0,58.0,7000.0
2-VÆRELSES LEJLIGHED MED HERLIG UDSIGT,2.0,67.0,6800.0
Rummelig og delevenlig 3-værelses i Aarhus C,3.0,88.0,9850.0
Skøn studie lejlighed i Jægergårdsgade,1.0,38.0,5866.0
"STUDERENDE TIL SOMMER 2025? PERFEKT 1,5-VÆRELSES",1.0,27.0,5400.0
Pæn 2 værelses lejlighed,2.0,57.0,6980.0
Rækkehus i Lisbjerg,3.0,93.0,9111.0
3-VÆRELSES MED CENTRAL BELIGGENHED I RISSKOV,3.0,69.0,9195.0
Delehuset,1.0,18.0,3000.0
4 værelses rækkehus på Mejlbyparken i Hjortshøj udlejes,4.0,125.0,10195.0
4 værelses lejlighed på Mallingparken i Malling udlejes,4.0,90.0,10495.0
HYGGELIG 1'ER I MED GOD BELIGGENHED I RISSKOV,1.0,38.0,5800.0
1-værelses med altan tæt ved Aarhus C,1.0,34.0,6795.0
TOTALRENOVERET STOR-VILLA I HASSELAGER - TÆT PÅ AARHUS,5.0,210.0,22000.0
3 værelses lejlighed på Mallingparken i Malling udlejes,3.0,80.0,9595.0
Skøn 2-værelses med altan og tæt på Aarhus C,2.0,63.0,8495.0
Til Salg Skøn 1 værelseslejlighed på 47m2 med privat parkering,1.0,47.0,6000.0
5 værelses rækkehus på Vistihøjen i Aarhus N udlejes,5.0,118.0,13450.0
Stor kælderlejlighed i Viby beliggende tæt på erhvervsakademiet,2.0,80.0,6900.0
Lys 1-værelses lejlighed med hems i Viby J,1.0,42.0,5750.0
Delevenlig 3-værelses med altan,3.0,67.0,9700.0
3-værelses lejlighed med fælles tagterrasse,3.0,64.0,8250.0
Moderne 2-værelses lejlighed i Bloomsterhaven,2.0,40.0,6250.0
RUMMELIG 2-VÆRELSES MED ALTAN,2.0,60.0,7950.0
STOR 2'ER MED SOLALTAN!,2.0,64.0,8595.0
